Model,Accuracy,Precision,Recall,F1-Score,AUC
LR (none),0.8409540672846578,0.5467479674796748,0.17101080737444374,0.2605326876513317,0.8067109601455302
LR (balanced),0.7232579939589626,0.34207459207459207,0.7463445645263828,0.46913086913086915,0.8074048126534877
RF (none),0.8392875742110197,0.5284090909090909,0.17736808645899554,0.2655878153260352,0.8016598611788175
RF (balanced),0.738777210707218,0.3508771929824561,0.6993006993006993,0.4672897196261682,0.7975559793741612
